2025-04-02_11-25-55,Execução Livre,draft.go:2025-04-02_11-25-55
2025-04-02_11-28-31,Execução Livre,draft.go:2025-04-02_11-25-55
2025-04-02_18-20-40,000%,draft.go:2025-04-02_11-25-55
2025-04-02_18-20-42,000%,draft.go:2025-04-02_11-25-55
2025-04-02_18-27-17,000%,draft.go:2025-04-02_18-27-17
2025-04-02_18-28-09,000%,draft.go:2025-04-02_18-28-09
2025-04-02_18-28-34,000%,draft.go:2025-04-02_18-28-34
2025-04-02_18-50-19,000%,draft.go:2025-04-02_18-50-19
2025-04-02_18-50-30,050%,draft.go:2025-04-02_18-50-19
2025-04-02_18-51-52,000%,draft.go:2025-04-02_18-51-52
2025-04-02_18-52-05,Execução Livre,draft.go:2025-04-02_18-51-52
2025-04-02_19-06-30,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-06-49,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-07-21,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-07-44,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-07-59,Execução Livre,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-13,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-16,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-16,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-17,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-18,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-18,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-19,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-19,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-20,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-20,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-21,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-21,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-22,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-22,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-23,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-23,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-24,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-24,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-25,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-25,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-26,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-26,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-27,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-27,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-28,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-28,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-29,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-29,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-30,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-08-30,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-11-54,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-11-55,100%,draft.go:2025-04-02_19-06-30
2025-04-02_19-11-55,100%,draft.go:2025-04-02_19-06-30
2025-04-08_20-13-32,100%,draft.go:2025-04-02_19-06-30
2025-04-08_20-16-43,100%,draft.go:2025-04-02_19-06-30
