2025-07-06_11-25-54,None,main.go:2025-07-06_11-25-54;pilha.go:2025-07-06_11-25-54
2025-07-06_11-25-57,None,main.go:2025-07-06_11-25-54;pilha.go:2025-07-06_11-25-54
2025-07-06_11-28-21,None,main.go:2025-07-06_11-28-21;pilha.go:2025-07-06_11-25-54
2025-07-06_11-29-13,None,main.go:2025-07-06_11-29-13;pilha.go:2025-07-06_11-25-54
2025-07-06_11-31-56,None,main.go:2025-07-06_11-31-56;pilha.go:2025-07-06_11-25-54
2025-07-06_11-33-24,None,main.go:2025-07-06_11-33-24;pilha.go:2025-07-06_11-25-54
2025-07-06_11-35-11,None,main.go:2025-07-06_11-35-11;pilha.go:2025-07-06_11-25-54
2025-07-06_11-36-04,None,main.go:2025-07-06_11-36-04;pilha.go:2025-07-06_11-25-54
2025-07-06_11-37-01,None,main.go:2025-07-06_11-37-01;pilha.go:2025-07-06_11-25-54
2025-07-06_11-37-04,None,main.go:2025-07-06_11-37-01;pilha.go:2025-07-06_11-25-54
2025-07-06_11-38-21,None,main.go:2025-07-06_11-38-21;pilha.go:2025-07-06_11-25-54
2025-07-06_11-39-12,None,main.go:2025-07-06_11-39-12;pilha.go:2025-07-06_11-25-54
2025-07-06_11-39-35,None,main.go:2025-07-06_11-39-35;pilha.go:2025-07-06_11-25-54
2025-07-06_11-39-36,None,main.go:2025-07-06_11-39-35;pilha.go:2025-07-06_11-25-54
2025-07-06_11-39-42,None,main.go:2025-07-06_11-39-42;pilha.go:2025-07-06_11-25-54
2025-07-06_11-41-33,None,main.go:2025-07-06_11-41-33;pilha.go:2025-07-06_11-25-54
2025-07-06_11-41-52,None,main.go:2025-07-06_11-41-52;pilha.go:2025-07-06_11-25-54
